,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,price
344,Fiat Punto Evo,1.3 Mjt 95 CV DPF 5 porte S,,145000,12/2012,70 kW (95 CV),Usato,,Manuale,Diesel,5500
345,Fiat Punto Evo,,,91902,02/2011,55 kW (75 CV),Usato,1,Manuale,Diesel,5599
346,Fiat Punto Evo,1.4 3 porte S&S Active - OK NEOPATENTATI -,,152100,05/2011,57 kW (77 CV),Usato,,Manuale,Benzina,5600
347,Fiat Punto Evo,1.4 5 porte Emotion GPL,,121316,03/2010,57 kW (77 CV),Usato,1,Manuale,GPL,5600
348,Fiat Punto Evo,1.2 5 porte S.S. 150° UNIPRO,,91018,07/2011,51 kW (69 CV),Usato,1,Manuale,Benzina,5600
349,Fiat Punto Evo,,,166000,11/2012,57 kW (77 CV),Usato,,- (Tipo di cambio),GPL,5699
350,Fiat Punto Evo,1.3 Mjt 90 CV 3 porte Sport,,112000,09/2010,66 kW (90 CV),Usato,,Manuale,Diesel,5699
351,Fiat Punto Evo,1.3 Mjt 95 CV DPF 5 porte S,,90000,11/2011,70 kW (95 CV),Usato,,Manuale,Diesel,5700
352,Fiat Punto Evo,Punto Evo 1.4 5 porte Emotion Natural Power,,96000,01/2011,57 kW (77 CV),Usato,,Manuale,Benzina,5700
353,Fiat Punto Evo,1.3 Mjt 75 CV Sport,,140000,02/2013,55 kW (75 CV),Usato,,Manuale,Diesel,5700
354,Fiat Punto Evo,1.3 Mjt 95 CV DPF 3 porte S&S Sport,,193598,12/2010,70 kW (95 CV),Usato,,Manuale,Diesel,5700
355,Fiat Punto Evo,1.2 5 porte OK PER NEOPATENTATI+NAVIGATORE+CRUISE,,99000,04/2013,51 kW (69 CV),Usato,1,Manuale,Benzina,5700
356,Fiat Punto Evo,1.3Mjt 95Cv Dpf 5Porte S&S Dualogic Dynamic,,95530,09/2011,70 kW (95 CV),Usato,,Semiautomatico,Diesel,5700
357,Fiat Punto Evo,1.3 Mjt 75 CV DPF 5 porte S,,125000,10/2011,55 kW (75 CV),Usato,,Manuale,Diesel,5750
358,Fiat Punto Evo,"1.4i 105Cv BZ/GPL 5Pte Dynamic ""AC/CD""",,104000,11/2011,77 kW (105 CV),Usato,2,Manuale,GPL,5790
359,Fiat Punto Evo,Punto Evo 1.3 Mjt 75 CV DPF 5 porte S&S Dynamic,,160977,01/2011,55 kW (75 CV),Usato,,Manuale,Diesel,5790
360,Fiat Punto Evo,1.3 Mjt 75 CV 5 porte Dynamic Per Neopatentati,,144000,06/2011,55 kW (75 CV),Usato,,Manuale,Diesel,5799
361,Fiat Punto Evo,dynamic,,90000,04/2011,55 kW (75 CV),Usato,,- (Tipo di cambio),Metano,5800
362,Fiat Punto Evo,1.3 mjt Sport 95cv 3p -AUTOMATICA,,150000,12/2011,70 kW (95 CV),Usato,2,Automatico,Diesel,5800
363,Fiat Punto Evo,Punto Evo 1.3 mjt Cambio Automatico,,171586,04/2011,70 kW (95 CV),Usato,,Automatico,Diesel,5800
364,Fiat Punto Evo,1.4 5 porte Emotion GPL,,137000,03/2012,57 kW (77 CV),Usato,,Manuale,GPL,5800
365,Fiat Punto Evo,1.3 Mjt 75 CV DPF 5 porte S&S Dynamic! VEDI INFO!!,,166960,12/2010,55 kW (75 CV),Usato,,Manuale,Diesel,5800
366,Fiat Punto Evo,1.4 5 porte Dynamic Natural Power GARANZIA,,181000,06/2011,51 kW (69 CV),Usato,1,Manuale,Metano,5800
367,Fiat Punto Evo,1.4 5 porte Dynamic EasyPower,,130000,10/2013,57 kW (77 CV),Usato,,Manuale,Metano,5800
368,Fiat Punto Evo,1.4 5 porte 150° Natural Power METANO,,128300,04/2011,51 kW (69 CV),Usato,1,Manuale,Metano,5800
369,Fiat Punto Evo,1.4 5p. Active GPL,,118000,12/2010,57 kW (77 CV),Usato,,Manuale,GPL,5800
370,Fiat Punto Evo,1.2 5p. S&S Active,,139000,01/2011,51 kW (69 CV),Usato,,Manuale,Benzina,5800
371,Fiat Punto Evo,1.4 M.Air 16V 3 porte Turbo S,,180000,12/2012,99 kW (135 CV),Usato,,Manuale,Benzina,5800
372,Fiat Punto Evo,1.3 Mjt 75 CV 5 porte Active,,137751,02/2010,55 kW (75 CV),Usato,,Manuale,Diesel,5800
373,Fiat Punto Evo,"1.3 mjt s&s E5 95cv OTTIME CONDIZIONI, FULL OPT.!",,100000,11/2011,70 kW (95 CV),Usato,,Manuale,Diesel,5850
374,Fiat Punto Evo,1.4 Dynamic N.Power 70CV (E.5A),,155302,05/2011,57 kW (77 CV),Usato,,Manuale,Metano,5890
375,Fiat Punto Evo,1.4 5 porte Blue,,130000,12/2011,57 kW (77 CV),Usato,1,Manuale,GPL,5900
376,Fiat Punto Evo,1.3 mjt Dynamic,,146092,03/2011,55 kW (75 CV),Usato,,Manuale,Diesel,5900
377,Fiat Punto Evo,1.2 5 porte S/ NEOPATENTATI,,162000,02/2011,51 kW (69 CV),Usato,1,Manuale,Benzina,5900
378,Fiat Punto Evo,1.3 mjt-NEOPATENTATI-CLIMA-NAVI-5 PORTE-75CV,,158000,11/2011,55 kW (75 CV),Usato,2,Manuale,Diesel,5900
379,Fiat Punto Evo,1.4 16V 5 porte Dynamic,,87000,03/2010,77 kW (105 CV),Usato,,Manuale,Benzina,5900
380,Fiat Punto Evo,1.3 Mjt 75 CV DPF 3 porte S Tourning neo patentati,,230000,10/2009,55 kW (75 CV),Usato,,Manuale,Diesel,5900
381,Fiat Punto Evo,1.2 5 porte Dynamic*NEOPATENTATI*,,129000,04/2013,51 kW (69 CV),Usato,1,Manuale,Benzina,5900
382,Fiat Punto Evo,1.2 5 porte*NEOPATENTATI*CLIMA*,,129000,04/2013,51 kW (69 CV),Usato,1,Manuale,Benzina,5900
383,Fiat Punto Evo,Evo 1.3 MTJ S&S,,183192,07/2013,62 kW (84 CV),Usato,1,Manuale,Diesel,5900
384,Fiat Punto Evo,1.3 Mjt 95 CV DPF 5 porte S&S Dynamic,,138311,07/2012,70 kW (95 CV),Usato,,Manuale,Diesel,5900
385,Fiat Punto Evo,1.2 5 porte S,,130000,09/2011,51 kW (69 CV),Usato,,Manuale,Benzina,5900
386,Fiat Punto Evo,1.4 5 porte S,,71469,09/2011,57 kW (77 CV),Usato,,Automatico,Benzina,5900
387,Fiat Punto Evo,1.3 MJT 5 porte S&S Dynamic,,210000,03/2011,70 kW (95 CV),Usato,,Manuale,Diesel,5900
388,Fiat Punto Evo,1.2 5 porte Dynamic Neopatentato,,90000,07/2010,48 kW (65 CV),Usato,,Manuale,Benzina,5900
389,Fiat Punto Evo,Punto Evo 1.3 mjt Emotion Clima auto-Unico Proprie,,93600,02/2011,70 kW (95 CV),Usato,,Manuale,Diesel,5900
390,Fiat Punto Evo,1.3 Mjt 95 CV DPF 3 porte S,,135000,09/2010,70 kW (95 CV),Usato,,Manuale,Diesel,5900
391,Fiat Punto Evo,1.4 8V 5 porte Easypower Street,,136100,07/2014,57 kW (77 CV),Usato,,Manuale,GPL,5900
392,Fiat Punto Evo,1.3 Mjt 75 CV DPF 5 porte S,,147423,08/2013,55 kW (75 CV),Usato,,Manuale,Diesel,5900
393,Fiat Punto Evo,1.4 Natural Power 70cv 5 porte Dynamic,,120000,10/2011,57 kW (77 CV),Usato,,Manuale,Metano,5950
394,Fiat Punto Evo,1.4 8v 5 porte GPL EasyPower (Neopatentati),,136525,06/2012,57 kW (77 CV),Usato,,Manuale,GPL,5990
395,Fiat Punto Evo,1.3 Mjt 95 CV DPF 5 porte S,,105000,09/2012,70 kW (95 CV),Usato,,Manuale,Diesel,5990
396,Fiat Punto Evo,Punto Evo 1.3 mjt Dynamic CAMBIO AUTOMATICO,,163000,05/2011,70 kW (95 CV),Usato,1,Automatico,Diesel,5999
397,Fiat Punto Evo,1.4 5 porte S,,125000,10/2011,57 kW (77 CV),Usato,,Automatico,Benzina,5999
398,Fiat Punto Evo,1.3 Mjt 95 CV DPF 5 porte S,,176500,12/2011,70 kW (95 CV),Usato,,Manuale,Diesel,5999
399,Fiat Punto Evo,1.4 5 porte Natural Power ok neopatentati,,145000,05/2011,51 kW (69 CV),Usato,,Manuale,Metano,6000
