,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,seller_company_name,seller_CAP,seller_city,price
43,BMW i3,REX 94 Ah RANGE EXTENDER,,134000,01/2018,75 kW (102 CV),Usato,1,Automatico,Elettrica,"Privato, ",10010,Parella TORINO,18000
44,BMW i3,60 Ah 102 CV Aut.,,22000,12/2017,75 kW (102 CV),Usato,2,Automatico,Elettrica,Autoo srl,35142,Padova - PD,18490
45,BMW i3,60 Ah 102 CV Aut.,,22000,12/2017,75 kW (102 CV),Usato,2,Automatico,Elettrica,Autoo,20129,Milano - MI,18490
46,BMW i3,"(Range Extender) 60 Ah 102 CV ""SOLO 25000 KM !!!)",,25000,11/2015,75 kW (102 CV),Usato,,Automatico,Elettrica,Silberauto Snc,20811,Cesano Maderno - Monza Brianza,18900
47,BMW i3,60Ah (Range Extender),,50000,01/2016,75 kW (102 CV),Usato,,Automatico,Elettrica,Clerici Auto Spa,22075,Lurate Caccivio - Como - Co,18900
48,BMW i3,60 Ah (Range Extender),,58264,04/2015,125 kW (170 CV),Usato,2,Automatico,Elettrica,TS Auto di Tusa V.,35010,Villa Del Conte - Pd,18900
49,BMW i3,,,75000,09/2016,75 kW (102 CV),Usato,,Automatico,Elettrica,F.lli Galbiati snc,20061,Carugate - Milano - Mi,18900
50,BMW i3,,,73420,10/2015,125 kW (170 CV),Usato,1,Automatico,Elettrica,BMW ROMA,00178,Roma - Rm,18990
51,BMW i3,i3 94aH 170ch NAVI PRO/ FARI LED,,56000,11/2017,75 kW (102 CV),Usato,,Automatico,Elettrica,Sabe Srl,33050,Bagnaria Arsa - Udine - Ud,19500
52,BMW i3,Range Extender Navi Cerchi 19 Visibile in sede,,24500,06/2015,75 kW (102 CV),Usato,1,Automatico,Elettrica,Mv Fleming srls,00191,Roma - Rm,19500
53,BMW i3,Full REX 60ah,,86500,10/2014,75 kW (102 CV),Usato,,Automatico,Elettrica,"Privato, ",03100,Frosinone,19500
54,BMW i3,i3s (Range Extender),,16000,11/2014,75 kW (102 CV),Usato,,Automatico,Elettrica,Longcars Srl,37139,Verona - Vr,19900
55,BMW i3,94 Ah,,105871,12/2016,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTO IKARO - ACTIVA SPA,39100,Bolzano - Bz,19900
56,BMW i3,LED/R19/NAVIGATORE/SEDILI RISCALDATI/ISOFIX,,22500,06/2015,75 kW (102 CV),Usato,,Automatico,Elettrica,S.P. Rent srl,03039,Sora - Frosinone - FR,19900
57,BMW i3,(Range Extender),,58982,01/2016,125 kW (170 CV),Usato,,Automatico,Elettrica/Benzina,NANNI NEMBER SRL - BRESCIA,25126,Brescia - Bs,19900
58,BMW i3,170 Cv - 94 Ah,,15000,06/2019,125 kW (170 CV),Usato,,Automatico,Elettrica,Dea,20847,Albiate - Monza e Brianza,19990
59,BMW i3,(Range Extender),,37360,05/2016,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,BIRINDELLI @UTO SRL,55060,Guamo - Lucca - Lu,20000
60,BMW i3,top ful ful optional,,150000,11/2013,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,"Privato, ",20132,Milano,20000
61,BMW i3,94 Ah NAVI+VOLANTE MULTIFUNZIONE,,23661,11/2017,75 kW (102 CV),Usato,,Automatico,Elettrica,Car Km Reali Snc,10043,Orbassano,20870
62,BMW i3,94AH-BATTERIRE DI PROPRIETA',,41568,10/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,RossettoMotors srl,31027,Spresiano - Treviso - Tv,20900
