,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,seller_company_name,seller_CAP,seller_city,price
162,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI MONZA,20900,Monza - Monza Brianza - Mb,33800
163,BMW i3,94Ah Range Extender,,3537,11/2018,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,ROMANO BRUNO SRL,15033,Casale Monferrato - Alessandria - Al,33900
164,BMW i3,94Ah Range Extender,,3537,11/2018,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,ROLANDI AUTO SPA,15100,Alessandria - Al,33900
165,BMW i3,"120 AH S BLACK PACK ADVANTAGE PDC 20"" CRUISE ACC",,4300,04/2021,135 kW (184 CV),Usato,,Automatico,Elettrica,Pace Automobili srl,03013,Ferentino - FR,34500
166,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,34600
167,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,34600
168,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,34600
169,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,34600
170,BMW i3,120 Ah Advantage *Pronta Consegna,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,34600
171,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,34600
172,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,34600
173,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,34600
174,BMW i3,120 Ah Advantage *Pronta Consegna,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,34600
175,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,34600
176,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,34600
177,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,34600
178,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,34800
179,BMW i3,120 Ah,,16900,07/2020,75 kW (102 CV),Usato,,Automatico,Elettrica,Pizzala Srl,20013,Magenta - Milano - Mi,34800
180,BMW i3,120 Ah Advantage *Km Zero,,,- (Anno),125 kW (170 CV),Nuovo,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,34800
181,BMW i3,120 Ah Advantage *Km zero,,100,09/2021,125 kW (170 CV),KM0,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,34900
182,BMW i3,s 120 Ah Advantage,,5300,09/2020,75 kW (102 CV),Aziendale,,Automatico,Elettrica,Appia Motor 71 Srl,00043,Ciampino - Roma – Rm,34900
183,BMW i3,120 Ah Advantage *Km zero,,100,09/2021,125 kW (170 CV),KM0,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,34900
184,BMW i3,120Ah Advantage,,12142,07/2019,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,ROMANO BRUNO SRL,15033,Casale Monferrato - Alessandria - Al,34900
185,BMW i3,120Ah Advantage,,12142,07/2019,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,ROLANDI AUTO SPA,15100,Alessandria - Al,34900
186,BMW i3,120Ah Advantage,,9100,02/2020,125 kW (170 CV),Dimostrativo,,Automatico,Elettrica,Mobility.it - Km 0 - Gruppo Lario,20125,Milano - Mi,35000
187,BMW i3,120 Ah Advantage,,11000,02/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,LARIO BERGAUTO SPA,23900,Lecco - Lc,35000
188,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI BOLOGNA,40057,Granarolo dell'Emilia - Bologna - Bo,35300
189,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI BOLOGNA,40033,Casalecchio di Reno - Bologna - Bo,35300
190,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI MILANO,20151,Milano - Mi,35300
191,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI BRIANZA,20832,Desio - Monza Brianza - Mb,35300
192,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI MONZA,20900,Monza - Monza Brianza - Mb,35300
193,BMW i3,s 120 Ah Advantage,,2239,02/2021,135 kW (184 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,35900
194,BMW i3,(I01) 120 Ah,,119,08/2019,1 kW (1 CV),KM0,,Automatico,Elettrica,Paradiso Srl,88046,Lamezia Terme - Catanzaro - Cz,35900
195,BMW i3,s 120 Ah Advantage,,2239,02/2021,135 kW (184 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,35900
196,BMW i3,I3 120ah advantage,,2900,05/2021,75 kW (102 CV),Usato,,Automatico,Elettrica,L'AUTOMOBILE SRL,03100,Frosinone - Fr,36900
197,BMW i3,S 94Ah RANGE EXTENDER TETTO APRIBILE CERCHI DA 20,,33091,01/2018,75 kW (102 CV),Usato,1,Automatico,Elettrica/Benzina,Autounica Srl,25132,Brescia - Bs,36900
198,BMW i3,120 Ah,,3466,07/2019,125 kW (170 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,37000
199,BMW i3,120 Ah,,3466,07/2019,125 kW (170 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,37000
200,BMW i3,,,1005,04/2014,125 kW (170 CV),Usato,1,Automatico,Elettrica,BMW ROMA SRL,00138,Roma - Rm,37000
201,BMW i3,(I01) 120 Ah Advantage,,1500,11/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTOVANTI MONZA,20900,Monza - Monza Brianza - Mb,37500
202,BMW i3,BMW I3S 120AH,,6244,03/2020,135 kW (184 CV),Usato,,Automatico,Elettrica,BIAUTO SRL - SEDE BIAUTLET,10036,Settimo Torinese - Torino - To,37500
203,BMW i3,(I01) 120 Ah Advantage,,1500,11/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTOVANTI BOLOGNA,40033,Casalecchio di Reno - Bologna - Bo,37500
204,BMW i3,(I01) 120 Ah Advantage,,1500,11/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTOVANTI BOLOGNA,40057,Granarolo dell'Emilia - Bologna - Bo,37500
205,BMW i3,120 Ah Advantage,,20,11/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,BIRINDELLI @UTO SRL,50059,Vinci - Firenze - Fi,37900
206,BMW i3,120 Ah Advantage,,20,11/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,BIRINDELLI @UTO SRL,55060,Guamo - Lucca - Lu,37900
207,BMW i3,120Ah Advantage,,8500,11/2020,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,A.D. MOTOR SPA,06129,Perugia - Pg,38000
208,BMW i3,s 120 Ah Advantage,,,11/2021,75 kW (102 CV),Nuovo,,Automatico,Elettrica,Ambrosi Auto Spa,05100,Terni - Tr,38370
209,BMW i3,120 Ah Advantage,,1,11/2021,75 kW (102 CV),KM0,,Manuale,Elettrica,Ambrosi Auto Spa,05100,Terni - Tr,38400
210,BMW i3,(I01) i3s 120 Ah Advantage,,1500,07/2021,135 kW (184 CV),Usato,1,Automatico,Elettrica,AUTOVANTI BOLOGNA,40057,Granarolo dell'Emilia - Bologna - Bo,38900
211,BMW i3,(I01) i3s 120 Ah Advantage,,1500,07/2021,135 kW (184 CV),Usato,1,Automatico,Elettrica,AUTOVANTI BOLOGNA,40033,Casalecchio di Reno - Bologna - Bo,38900
212,BMW i3,(I01) i3s 120 Ah Advantage,,1500,07/2021,135 kW (184 CV),Usato,1,Automatico,Elettrica,AUTOVANTI MILANO,20151,Milano - Mi,38900
213,BMW i3,(I01) i3s 120 Ah Advantage,,1500,07/2021,135 kW (184 CV),Usato,1,Automatico,Elettrica,AUTOVANTI BRIANZA,20832,Desio - Monza Brianza - Mb,38900
214,BMW i3,(I01) i3s 120 Ah Advantage,,1500,07/2021,135 kW (184 CV),Usato,1,Automatico,Elettrica,AUTOVANTI MONZA,20900,Monza - Monza Brianza - Mb,38900
215,BMW i3,i3s 120Ah Advantage,,11797,05/2020,75 kW (102 CV),Usato,,Automatico,Elettrica,Gino Spa,17031,Albenga - Savona - Sv,38900
216,BMW i3,120Ah Advantage,,0,03/2021,75 kW (102 CV),KM0,,Automatico,Elettrica,BONERA SPA,25135,Brescia,38900
217,BMW i3,120Ah,,0,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,REGGIO MOTORI SPA,42124,Reggio Emilia - Re,39450
218,BMW i3,120 Ah Advantage,,,11/2021,75 kW (102 CV),Nuovo,,Automatico,Elettrica,Ambrosi Auto Spa,05100,Terni - Tr,39544
219,BMW i3,120Ah,,9850,11/2019,75 kW (102 CV),Usato,,Automatico,Elettrica,M.CAR SPA,81030,Teverola - Caserta - Ce,39900
220,BMW i3,s 120 Ah Advantage,,4985,05/2020,135 kW (184 CV),Usato,,Automatico,Elettrica,NANNI NEMBER SRL - BRESCIA,25126,Brescia - Bs,39900
221,BMW i3,S,,1799,02/2021,75 kW (102 CV),Aziendale,,Automatico,Elettrica,AUTOEUR SRL,51100,Pistoia,40400
222,BMW i3,S,,1799,02/2021,75 kW (102 CV),Aziendale,,Automatico,Elettrica,AUTOEUR SRL,50019,Osmannoro - Firenze - Fi,40400
223,BMW i3,120Ah Advantage,,1,07/2021,75 kW (102 CV),KM0,,Automatico,Elettrica,Ambrosi Auto Spa,05100,Terni - Tr,40549
224,BMW i3,s 120Ah Advantage,,11500,07/2019,75 kW (102 CV),Usato,,Automatico,Elettrica,TULLO PEZZO SRL,46030,San Giorgio Bigarello- Mantova,40900
225,BMW i3,i3s 120 Ah,,1,12/2019,75 kW (102 CV),KM0,,Automatico,Elettrica,GINO AUTO SRL,55041,Lido di Camaiore - Lucca,41300
226,BMW i3,i3s 120 Ah,,1,12/2019,75 kW (102 CV),KM0,,Automatico,Elettrica,Gino Spa,12100,Cuneo - Cn,41300
227,BMW i3,i3s 120 Ah,,1,12/2019,75 kW (102 CV),KM0,,Automatico,Elettrica,Gino Spa,57121,Livorno - Li,41300
228,BMW i3,i3 120Ah Advantage,,7000,06/2021,75 kW (102 CV),Usato,,Automatico,Elettrica,"Privato, ",37100,VERONA,41600
229,BMW i3,s 120Ah,,100,03/2021,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,AUTOCLUB SPA,41123,Modena - Mo,41600
230,BMW i3,s 120Ah,,100,03/2021,75 kW (102 CV),KM0,,Automatico,Elettrica,SASSUOLAUTO SERVICE SRL,42013,Veggia Casalgrande - Reggio Emilia - Re,41600
231,BMW i3,s 120 Ah Advantage,,14000,05/2021,75 kW (102 CV),Aziendale,,Automatico,Elettrica,NANNI NEMBER SRL - BRESCIA,25126,Brescia - Bs,42000
232,BMW i3,i3s 120Ah Advantage,,10,09/2021,75 kW (102 CV),KM0,,Automatico,Elettrica,Automobili Valentino srl,20100,Milano - Mi,42000
233,BMW i3,s 120 Ah Advantage,,4146,07/2020,135 kW (184 CV),Usato,1,Automatico,Elettrica,AUTOSTAR,33100,Tavagnacco - Udine - Ud,43000
234,BMW i3,s 120 Ah Advantage,,2440,07/2020,135 kW (184 CV),Usato,1,Automatico,Elettrica,AUTOTORINO SPA,43122,Parma - Pr,43000
235,BMW i3,i3s 120Ah Advantage,,4146,07/2020,75 kW (102 CV),Usato,1,Automatico,Elettrica,Autotorino Spa,33100,Tavagnacco - Udine - Ud,43000
236,BMW i3,120 Ah,,0,11/2021,75 kW (102 CV),Nuovo,,Automatico,Elettrica,Euro Target - MultiIdee MultiAuto MultiMarche,40066,Pieve Di Cento - Bologna - Bo,43080
237,BMW i3,s 120 Ah Advantage,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,SASSUOLAUTO SERVICE SRL,42013,Veggia Casalgrande - Reggio Emilia - Re,43083
238,BMW i3,120 Ah Advantage,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,SASSUOLAUTO SERVICE SRL,42013,Veggia Casalgrande - Reggio Emilia - Re,43248
239,BMW i3,s 120Ah,,,- (Anno),135 kW (184 CV),Nuovo,,Automatico,Elettrica,NANNI NEMBER SRL - BRESCIA,25126,Brescia - Bs,43500
240,BMW i3,s 120 Ah Advantage,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,SASSUOLAUTO SERVICE SRL,42013,Veggia Casalgrande - Reggio Emilia - Re,43704
241,BMW i3,s 120 Ah Advantage,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,SASSUOLAUTO SERVICE SRL,42013,Veggia Casalgrande - Reggio Emilia - Re,44091
242,BMW i3,120 Ah Aut. LISTINO € 48.706,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,FIMAUTO SPA,37136,Verona - Vr,44900
243,BMW i3,120 Ah Aut. LISTINO € 48.706,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOGEMELLI,36100,Vicenza - Vi,44900
244,BMW i3,120Ah Advantage,,7100,10/2020,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,TULLO PEZZO SRL,46030,San Giorgio Bigarello- Mantova,44957
245,BMW i3,120 Ah Advantage,,0,11/2021,75 kW (102 CV),Nuovo,,Automatico,Elettrica,Euro Target - MultiIdee MultiAuto MultiMarche,40066,Pieve Di Cento - Bologna - Bo,45750
246,BMW i3,120 Ah Advantage,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,SASSUOLAUTO SERVICE SRL,42013,Veggia Casalgrande - Reggio Emilia - Re,45819
247,BMW i3,120 Ah Advantage,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,SASSUOLAUTO SERVICE SRL,42013,Veggia Casalgrande - Reggio Emilia - Re,45873
248,BMW i3,120 Ah Aut. LISTINO € 50.523,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,FIMAUTO SPA,37136,Verona - Vr,45900
249,BMW i3,120 Ah Aut. LISTINO € 50.523,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOGEMELLI,36100,Vicenza - Vi,45900
250,BMW i3,120 Ah Aut. LISTINO € 50.042,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,FIMAUTO SPA,37136,Verona - Vr,46500
251,BMW i3,120 Ah Aut. LISTINO € 50.042,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOGEMELLI,36100,Vicenza - Vi,46500
252,BMW i3,s 120 Ah,,0,11/2021,75 kW (102 CV),Nuovo,,Automatico,Elettrica,Euro Target - MultiIdee MultiAuto MultiMarche,40066,Pieve Di Cento - Bologna - Bo,46990
253,BMW i3,120Ah Advantage,,0,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,REGGIO MOTORI SPA,42124,Reggio Emilia - Re,47300
254,BMW i3,s 120Ah Advantage,,0,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,BONERA SPA,25135,Brescia,48000
255,BMW i3,s 120 Ah Aut. LISTINO € 48.553,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOGEMELLI,36100,Vicenza - Vi,48553
256,BMW i3,s 120 Ah Aut. LISTINO € 48.553,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,FIMAUTO SPA,37136,Verona - Vr,48553
257,BMW i3,s 120 Ah Advantage,,0,11/2021,75 kW (102 CV),Nuovo,,Automatico,Elettrica,Euro Target - MultiIdee MultiAuto MultiMarche,40066,Pieve Di Cento - Bologna - Bo,49670
258,BMW i3,120Ah Advantage,,0,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,REGGIO MOTORI SPA,42124,Reggio Emilia - Re,50700
259,BMW i3,s 120Ah Advantage,,0,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,REGGIO MOTORI SPA,42124,Reggio Emilia - Re,51100
260,BMW i3,s 120Ah Advantage,,0,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,REGGIO MOTORI SPA,42124,Reggio Emilia - Re,53800
261,BMW i3,120 Ah Advantage,,1,09/2021,125 kW (170 CV),KM0,1,Automatico,Elettrica,AUTOTORINO SPA,21057,Olgiate Olona - Varese - Va,54120
